Source,Relation,Target,Weight,Evidence,Confidence
tarim system,supplies,water,2,"It is a matter of mere physical necessity that the water should overflow and run towards the relatively lower depressions. | The next day I measured the volume of the river ; it amounted to 5,517 cubic feet in the second, the greatest volume I have recorded anywhere throughout the Tarim system ; it was due, as I have already explained, to the cold, snowy winter and the unusually thick formation and long continuance of the ice.",0.825
the tibetans,supplies,us,2,"Before he went the old man bought a teacup from us, and told us that he would be happy to supply us with anything we wanted. | They undertook to procure us everything we wanted until we reached Ladak.",0.85
central asia and tibet,connects_to,holy city of lassa,1,TOWARDS THE HOLY CITY OF LASS.,0.9
temirlik,supplies,photographic plates,1,I developed photographic plates until a late hour of the evening...,0.9
i,controls,the entrance to the cave,1,directed that the entrance to the cave should be guarded day and night.,0.8
the lake,depends_on,salter water,1,"It appeared to me as if a thin layer of fresh water, coming from the stream, had spread itself over the salter water of the lake...",0.8
illveh-chimen,connects_to,mountain-ranges,1,"On the north the view was bounded by the immense snowy mass of the Illveh-chimen, with its crowd of eccentric peaks, a group we had already made acquaintance with during our previous excursions.",0.8
glen,connects_to,pass of ghopur-alik,1,The Glen leading up to the Pass of Ghopur-alik.,0.9
illveh-chimen,connects_to,ecentric peaks,1,"On the north the view was bounded by the immense snowy mass of the Illveh-chimen, with its crowd of eccentric peaks, a group we had already made acquaintance with during our previous excursions.",0.8
"turdu bai, tokta ahun, and khodai vardi",migrates_through,stinging cold,1,"Cherdon shot a yak bull, and I heartily pitied Turdu Bai, Tokta Ahun, and Khodai Vardi, when at g o'clock at night they went out in the stinging cold to cut him up.",0.7
mongol pilgrims,trades_with,abdall,1,"Upon reaching Abdall they generally try to exchange their exhausted camels for horses, so as to be able to reach their distant homes before the season gets too far advanced.",0.9
mongol pilgrims,exchanges_for,horses,1,"Upon reaching Abdall they generally try to exchange their exhausted camels for horses, so as to be able to reach their distant homes before the season gets too far advanced.",0.9
mongol pilgrims,supplies,food in boxes and sacks,1,"The pilgrims carry their food in boxes and sacks, and on their way back usually replenish their supplies at Abdall.",0.8
mongol pilgrims,migrates_through,kara-shahr to lassa,1,"Every year large numbers of Mongol pilgrims travel from the tributary states of Russia and China, in the north of Asia, to the holy city of Tibet.",0.9
tokta ahun,transports_via,a sledge,1,"Seated in this light equipage, I was drawn by Tokta Ahun and Khodai K d u a merry race across the frozen surface.",0.8
turdu bai,controls,boat,1,Turdu Bai went back to Temirlik with the boat.,0.8
tokta ahun,regulates,ascent,1,Tokta Ahun and two or three others started early to level it down with spades (just before the summit of the pass).,0.9
khodai kullu,controls,wild camel,1,"Khodai Kullu, coiling a lassoo, flung it round its neck, and dragged it to the ground...",0.8
dungan hunters,trades_with,fox skins,1,at that time fox skins were worth a good deal of money,0.8
shagdur,connects_to,mongol encampments,1,"Before I was called the next morning, the men had already hunted out two or three Mongol encampments farther on.",0.8
our guide,supplies,five camels,1,"he let me hire from him five camels as far as Anambaruin-gol, and sold me as much corn as we were able to carry with us.",0.8
the ancient highway,connects_to,the road in the astyn-tagh,1,"Every hill, however, and every headland-there were at least a score of them-was crowned with a cairn of stones by way of landmark. These cairns could not possibly indicate a hunter's track, for hunters neither follow fixed routes, nor do they build landmarks of stones such as these were.",0.9
the sartang mongols,governs,the territory,1,AMONGST THE SARTANG MONGOLS.,0.8
rain,supplies,dry rivulets,1,"It was evident that this elevated tract on the edge of the desert was sometimes visited by rain, for there were a number of dry rivulets winding in and out amongst the sand-dunes...",0.8
middle gobi,supplies,camels,1,"The camels drank as much Sand-dunes of the Middle Gobi, as they could hold at the well before starting...",0.8
wild camels,depends_on,springs and grazing,1,"Most of the tracks, I soon ascertained, ran towards the north-west or south-east. In the latter direction were the kamish steppes of the astyn-yo11 which we had recently crossed ; in the former there were no doubt springs which the camels knew of, and they only.",0.8
the camels,depends_on,water,1,"On the 16th of February I was forced to the conclusion that the only way to avoid disaster was to strike straight for the south, and try to reach once more the salt wells of the astyn-yoll. We were engaged in an exciting hunt for water...",0.85
khodai vardi,supplies,tea,1,"For his own support we left with Khodai Vardi, out of our now scanty stores, a matchbox, a small cooking-pot, and a handful of tea.",0.8
khodai vardi,supplies,matches,1,"He had plenty of water, and he could get what meat he liked from the dead camel ; the matches would help him to make fires for boiling his tea and cooking his steak.",0.8
khodai vardi,supplies,meat,1,"He had plenty of water, and he could get what meat he liked from the dead camel ; the matches would help him to make fires for boiling his tea and cooking his steak.",0.8
khodai vardi,supplies,water,1,"He had plenty of water, and he could get what meat he liked from the dead camel ; the matches would help him to make fires for boiling his tea and cooking his steak.",0.8
the ancient inhabitants,governs,the manner of life,1,"Amongst them were pieces of red cloth, precisely like that which the lamas wear at the present day, felt rags, tufts of brown human hair, bones of sheep and cattle, soles of Chinese shoes, a leaden utensil, remarkably well-preserved pieces of rope, shards of clay pottery with simple ornamentation, an earring, Chinese coins, and so forth, and so forth.",0.8
the ancient inhabitants,supplies,"the horses, cattle, sheep and camels",1,"In one enclosure, which had probably been a stall or fold, they came across a thick layer of manure, showing that horses, cattle, sheep and camels had been sheltered there.",0.8
the ancient inhabitants,extracts_from,the ground,1,Its preservation was due to the fact that it had been buried under a thick layer of sand and dust.,0.8
lop-nor,connects_to,kurruk-tagh,1,"The background of the picture to the north would be, then as now, in clear weather, the Kurruk-tagh, where the people were in touch with the springs and oases, and across which a road undoubtedly led to Turfan.",0.9
a small people,governs,a well-to-do chinese merchant,1,"The place where the discovery was made seems to have belonged to a well-to-do Chinese merchant, who carried on a sort of livery business...",0.8
chinese merchant,licenses,carriages and beasts of burden,1,who let out carriages and beasts of burden on hire...,0.7
people,exchanges_for,seed-corn,1,...frequent mention of weights and measures of seed-corn...,0.6
military expedition,disputes,date,1,"One document speaks of a military expedition, though without giving a date.",0.5
the chinese authorities,controls,the ruins of ancient lop-nor,1,"They are under the control of the Chinese authorities, and serve to secure an equal distribution of food amongst the native inhabitants.",0.9
the official centres,administers,the watch-towers,1,it is also likely that these stood near the watch-towers,0.8
lau-lan,controls,wu-ni (capital of lau-lan),1,"From Wu-ni (capital of Lau-lan) to the Yang barrier (evidently in the direction of Tun-huang), 1,600 li ;",0.8
lau-lan,connects_to,yang barrier,1,"From Wu-ni (capital of Lau-lan) to the Yang barrier (evidently in the direction of Tun-huang), 1,600 li ;",0.8
lau-lan,connects_to,tun-huang,1,"From Wu-ni (capital of Lau-lan) to the Yang barrier (evidently in the direction of Tun-huang), 1,600 li ;",0.8
lau-lan,connects_to,chang-an,1,"to Chang-an, 6,100 li ;",0.8
lau-lan,connects_to,seat of government of the chinese governor-general (name not given) in a north-westerly direction,1,"to the seat of government of the Chinese governor-general (name not given) in a north-westerly direction, 1,785 li ;",0.8
lau-lan,connects_to,si-an-fu,1,"to Si-an-fu, 1,365 li ;",0.8
lau-lan,connects_to,keu-tse (ouigour),1,"to Keu- tse (Ouigour) in a north-westerly direction, 1,890 li ;",0.8
shen-shen or lau-lan,connects_to,tun-huang,1,"From Shen-shen or Lau-lan to Tun-huang, about 17 marches, 1.500 li ;",0.8
shen-shen or lau-lan,connects_to,wu-e (urgur ?),1,"From Shen-shen or Lau-lan to Wu-e (Urgur ?), 15 marches on foot in a north-westerly direction.",0.8
lau-lan,connects_to,chcmo-t6-na,1,"From Hsian-Tsang we learn that Lau-lan, which he also calls Na-po-po, is situated 1,000 li north-east of ChCmo-t6-na, also called Nimo.",0.8
lau-lan,disputes,chinese officials,1,"These had to pass through Lau-lan; but the people of Lau-lan, in concert with the Keu-tse, harassed the officials on the high-road, robbed and attacked Wang-Kuei, one of the envoys.",0.9
wu-ti,governs,the chinese empire,1,"The emperor re-established him on the throne, and commissioned him to keep watch over the movements of the Huns.",0.85
shen-shen,connects_to,kingdom,1,"the kingdom of Shen-shen, a country rugged and hilly, with a thin and barren soil.",0.9
wu-e,connects_to,country,1,"then proceeded on their journey, fifteen days' walking to the north-west bringing them to the country of Wu-e.",0.8
lau-lan,connects_to,country,1,in its day Lau-lan was a country of some importance.,0.9
